Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,10nF,0402,136,-50.1,180,bottom
C3,.1uF,0402,92.6,-36.99,0,bottom
C4,.1uF,0402,133.6,-34.82,90,bottom
C5,.1uF,0402,125.18,-65.15,0,bottom
C6,.1uF,0402,134.65,-47.6,180,bottom
C7,.1uF,0402,134.2,-55.475,90,bottom
C8,7pF,0402,125.87,-74.77,90,bottom
C9,7pF,0402,120.44,-74.77,-90,bottom
C11,22uF  25V,0805,131.975,-56.825,180,bottom
C12,.1uF,0402,136.525,-57.785,0,bottom
C13,22uF  25V,0805,141.3,-55.7,-90,bottom
C14,10pF,0402,134.4,-51.9,-90,bottom
C15,.1uF,0402,145.68,-53.04,0,bottom
C16,1uF,0402,122.55,-65.21,180,bottom
C17,.1uF 50V,0402,99.5,-51.0375,90,bottom
C18,1uF,0402,118.81,-51.92,-90,bottom
C19,1uF,0402,118.81,-54.2,-90,bottom
C20,22uF  25V,0805,106.651764,-73.521764,-90,bottom
C21,.1uF 50V,0402,109.27,-59.73,180,bottom
C22,.1uF 50V,0402,121.05,-62.34,-90,bottom
C25,.1uF,0402,133.65,-53.75,180,bottom
C26,.1uF,0402,129.47,-57.04,-90,bottom
C27,.1uF,0402,126.82,-38.8,90,bottom
C29,.1uF,0402,127.53,-48.68,0,bottom
C33,.1uF,0402,124.3475,-48.71,180,bottom
C34,10pF,0402,117.73,-54.17,-90,bottom
D2,20V 350mA SOD123,SOD-123,104.38,-73.7975,90,bottom
D7,BAT54CW,SOT-323,124.3,-59.72,180,bottom
J4,Micro_SD_Card_Det_Hirose_DM3AT,microSD_HC_Hirose_DM3AT-SF-PEJM5,134.5,-67.1,180,bottom
L1,4.7uH,0805,135.8,-55.1,-90,bottom
Q6,2N7002,SOT-323,120.09,-59.04,180,bottom
R2,4.7 OHM,0402,132.27,-48.75,0,bottom
R3,4.7K,0402,128.02,-38.83,-90,bottom
R6,10K,0402,141.32,-46.04,0,bottom
R7,1.0M 0.1%,0402,141.29,-47.05,180,bottom
R8,1.0M 0.1%,0402,136.6,-51.8,-90,bottom
R9,68,0402,117.96,-72.47,0,bottom
R10,68,0402,118.73,-74.31,-90,bottom
R11,200K,0402,129.65,-48,-90,bottom
R12,787K 1%,0402,122.57,-57.2125,90,bottom
R13,787K 1%,0402,125.38,-57.2025,-90,bottom
