Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",136.000000,-50.100000,180.000000,bottom
"C3",".1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",92.600000,-36.990000,0.000000,bottom
"C4",".1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",133.600000,-34.820000,90.000000,bottom
"C5",".1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",125.180000,-65.150000,0.000000,bottom
"C6",".1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",134.650000,-47.600000,180.000000,bottom
"C7",".1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",134.200000,-55.475000,90.000000,bottom
"C8","7pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",125.870000,-74.770000,90.000000,bottom
"C9","7pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",120.440000,-74.770000,-90.000000,bottom
"C11","22uF  25V","C_0805_2012Metric",131.975000,-56.825000,180.000000,bottom
"C12",".1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",136.525000,-57.785000,0.000000,bottom
"C13","22uF  25V","C_0805_2012Metric",141.300000,-55.700000,-90.000000,bottom
"C14","10pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",134.400000,-51.900000,-90.000000,bottom
"C15",".1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",145.680000,-53.040000,0.000000,bottom
"C16","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",122.550000,-65.210000,180.000000,bottom
"C17",".1uF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",99.500000,-51.037500,90.000000,bottom
"C18","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",118.810000,-51.920000,-90.000000,bottom
"C19","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",118.810000,-54.200000,-90.000000,bottom
"C20","22uF  25V","C_0805_2012Metric",106.651764,-73.521764,-90.000000,bottom
"C21",".1uF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",109.270000,-59.730000,180.000000,bottom
"C22",".1uF 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",121.050000,-62.340000,-90.000000,bottom
"C25",".1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",133.650000,-53.750000,180.000000,bottom
"C26",".1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",129.470000,-57.040000,-90.000000,bottom
