Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",132.890000,-36.710000,90.000000,top
"C10","10pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",140.990000,-46.510000,0.000000,top
"C23","10pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",127.980000,-36.740000,-90.000000,top
"C24","10pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",130.890000,-36.720000,-90.000000,top
"C28","22uF  25V","C_0805_2012Metric",146.790000,-70.610000,90.000000,top
"C30",".1uF 1KV","C_1812_4532Metric",118.610000,-72.180000,90.000000,top
"C31",".1uF 1KV","C_1812_4532Metric",110.560000,-72.190000,90.000000,top
"C32",".1uF 1KV","C_1812_4532Metric",114.590000,-72.190000,90.000000,top
"D1","MMBZ27VCLT1G","SOT-23",101.630000,-59.092500,180.000000,top
"D3","MMBZ27VCLT1G","SOT-23",101.710000,-63.082500,180.000000,top
"D6","MMBZ27VCLT1G","SOT-23",101.790000,-67.787500,0.000000,top
"J1","TERM","TERMINAL",117.750000,-42.250000,0.000000,top
"J2","TERM","TERMINAL",104.250000,-42.000000,0.000000,top
"J6","Conn_01x01_Pin","PinHeader_1x01_P1.00mm_Horizontal",141.120000,-41.010000,0.000000,top
"J7","Conn_01x01_Pin","PinHeader_1x01_P1.00mm_Horizontal",143.660000,-38.470000,0.000000,top
"J8","Conn_01x01_Pin","PinHeader_1x01_P1.00mm_Horizontal",143.660000,-41.010000,0.000000,top
"J9","Conn_01x01_Pin","PinHeader_1x01_P1.00mm_Horizontal",152.200000,-70.500000,0.000000,top
"J10","Conn_01x01_Pin","PinHeader_1x01_P1.00mm_Horizontal",141.130000,-43.550000,0.000000,top
"J11","Conn_01x01_Pin","PinHeader_1x01_P1.00mm_Horizontal",141.120000,-38.470000,0.000000,top
"K1","DVR05","modbatt relay tab",99.830000,-75.020000,-90.000000,top
"Q1","2N7002","SOT-323_SC-70",143.510000,-45.900000,90.000000,top
"Q2","IPB60R040CFD7ATMA1","TO-263-3_TabPin2",132.690000,-55.450000,0.000000,top
"Q3","IPB60R040CFD7ATMA1","TO-263-3_TabPin2",116.910000,-61.960000,180.000000,top
"Q4","ZVP0545G","SOT-223",141.520000,-69.380000,90.000000,top
"Q5","ZVN0545G","SOT-223",133.327501,-69.170000,90.000000,top
"R1","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",140.470000,-36.980000,180.000000,top
"R4","4.7K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",135.770000,-37.870000,180.000000,top
"R5","100K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",135.830000,-39.280000,0.000000,top
"R15","200K 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",142.270000,-75.030000,180.000000,top
"R16","2.7M 0.1% 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",152.220000,-65.730000,-90.000000,top
"R18","2.7M","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",137.210000,-74.990000,180.000000,top
"R21","2.7M","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",132.180000,-75.000000,180.000000,top
"R22","100K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",135.130000,-35.680000,0.000000,top
"R23","100K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",137.480000,-35.710000,0.000000,top
"R28","4.99K 0.1%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",129.930000,-36.700000,-90.000000,top
"R29","4.99K 0.1%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",128.920000,-36.710000,-90.000000,top
"R30","4.99K 0.1%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",131.850000,-36.720000,90.000000,top
"R31","4.99K 0.1%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",126.400000,-37.270000,0.000000,top
"R32","33K 3560 6W","3560",114.270000,-51.680000,0.000000,top
"R36","4R0 500V","R_2512_6332Metric",125.510000,-69.860000,0.000000,top
"R37","4R0 500V","R_2512_6332Metric",125.590000,-73.730000,0.000000,top
"U1","ACS37002LMABTR-050B5","SOIC-16W_7.5x10.3mm_P1.27mm",129.055000,-43.780000,90.000000,top
