Id;Designator;Footprint;Quantity;Designation;Supplier and ref;;;MFG;MFG P/N;Modbatt P/N;Modbatt Description;Match Confidence;Match Type
1;D1,D6,D3;SOT-23;3;MMBZ27VCLT1G;;;[''];ESD Suppressors/ TVS Diodes;MMBZ27VCLT1G;9042158;27V 225mW Dual Commo;100%;mfg_part_number
2;C23,C24,C10,C14,C34;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;5;10pF;;;[''];MURATA;GRM1555C1H100JA01D;9042051;CAP CER 10PF 50V C0G/NP0 0402;80%;partial_description
3;J9,J8,J6,J7,J11,J10;PinHeader_1x01_P1.00mm_Horizontal;6;Conn_01x01_Pin;;;[''];;;;;;no_match
4;C28,C13,C11,C20;C_0805_2012Metric;4;22uF  25V;;;[''];SAMSUNG ELECTRO-MECHANICS;CL21A226MAYNNNE;9042014;0805 22uF 25V X5R;95%;normalized_pattern
5;R30,R28,R29,R31,R14;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;5;4.99K 0.1%;;;[''];YAGEO;RT0402BRE074K99L;9042081;0402 4.99KOHM 0.1% 1/16W ;95%;normalized_pattern
6;J1,J2;TERMINAL;2;TERM;;;[''];;;;;;no_match
7;R36,R37;R_2512_6332Metric;2;4R0 500V;;;[''];;;;;;no_match
8;Q2,Q3;TO-263-3_TabPin2;2;IPB60R040CFD7ATMA1;;;[''];INFINEON;IPB60R040CFD7ATMA1;9042072;MOSFET, N-CH, 600V, 50A, 150DEG C, 227W;100%;mfg_part_number
9;R16,R19,R20;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;3;2.7M 0.1% 1206;;;[''];PANASONIC ELECTRONIC;ERA-8EAB3403V;9042009;1206 340K OHM 1/4W 0.1% ;105%;substring_match_footprint(1206,0.1%)
10;U1;SOIC-16W_7.5x10.3mm_P1.27mm;1;ACS37002LMABTR-050B5;;;[''];Allegro MicroSystems ;ACS37002LMABTR-050B5;9042071;Board Mount Current Sensors 400KHZ ;100%;mfg_part_number
11;C30,C31,C32;C_1812_4532Metric;3;.1uF 1KV;;;[''];KEMET;C1812W104KDRACAUTO;9042146;1812 0.1uF 1kV X7R;80%;partial_description
12;R21,R18;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;2;2.7M;;;[''];SUSUMU;RG3216P-2704-B-T1;9042061;RES 1206 2.7M OHM 0.1% 1/4W;95%;normalized_pattern
13;Q5;SOT-223;1;ZVN0545G;;;[''];DIODES INC;ZVN0545GTA;9042074;N-CHNL 450V;90%;substring_match(ZVN0545G)
14;C1;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;1;2.2uF;;;[''];MURATA ELECTRONICS;GRM155C81E225ME11D;9042007;0402 2.2uF CAP 25V X6S;80%;partial_description
15;Q4;SOT-223;1;ZVP0545G;;;[''];DIODES INC;ZVP0545GTA;9042073;P-CHNL 450V;90%;substring_match(ZVP0545G)
16;K1;modbatt relay tab;1;DVR05;;;[''];;;;;;no_match
17;R1;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;1;1K;;;[''];YAGEO;RT0402FRE101KL;9042161;0402 1K OHM 1% 50PPM ;95%;normalized_pattern
18;Q1,Q6;SOT-323_SC-70;2;2N7002;;;[''];PANJIT INTERNATIONAL;2N7002KW-AU_R1_000A1;9042001;SOT-323, MOSFET;90%;substring_match(2N7002)
19;R15;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;200K 1206;;;[''];YAGEO;RC1206JR-07200KL ;9042111;1206 200 kOhms 250mW 5% ;120%;substring_match(200K,1206)
20;R4,R33,R24,R25,R3;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;5;4.7K;;;[''];YAGEO;AC0402FR-134K7L ;9042110;0402 4.7K OHM 62.5mW 1% AEC-Q200 ;95%;normalized_pattern
21;R5,R22,R23,R34;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;4;100K;;;[''];TE CONNECTIVITY;CRG0402J100K/10;9042003;0402 100K OHM 1/16W 5% ;95%;normalized_pattern
22;R32;3560;1;33K 3560 6W;;;[''];YAGEO;RC0402JR-13560KL;9042118;0402 560K OHM 1/16W;120%;substring_match(6W,3560)
23;L1;L_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;4.7uH;;;[''];MURATA ELECTRONICS;LQM21PN4R7MGHL;9042016;9FIXED IND 4.7UH 1.2A 275MOHM SMD;80%;partial_description
24;C6,C5,C4,C29,C27,C25,C12,C15,C7,C3,C26,C33;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;12;.1uF;;;[''];CALCHIP;GMC04X7R104J16NT;9042062;0402 .1UF 5% 16V X7R;80%;partial_description
25;C8,C9;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;2;7pF;;;[''];KYOCERA AVX COMPONENTS;CM02CG7R0C25AH;9042018;1005 7pF 25V C0G/NP0 ;80%;partial_description
26;Y1;Crystal_SMD_3215-2Pin_3.2x1.5mm;1;32.768KHz SC-32;;;[''];;;;;;no_match
27;R17;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;1;100K 0.1% ;;;[''];YAGEO;RT0402BRE07100KL;9042090;0402 100K OHM 0.1% 1/16W ;80%;normalized_match
